"URT Data for 23 Cities, 2015-2024",,,,,,,,,,,
Year,DMU,"Number of
 assigned vehicles (List)","Operating kilometers 
(10,000 vehicle kilometers)","Total operational energy consumption 
(Thousand kilowatt-hours)","Passenger traffic volume
(Ten thousand people)",CE (×10^4 tCO2),GDP (Billion yuan), route length (Km),"Average daily number of 
actual transactions (train trips)",,
2018,Guangzhou,492,33578 ,155830 ,302950 ,68.61 ,21002 ,464 ,6530,,
2019,Guangzhou,524,40857 ,1726300 ,330995 ,760.09 ,23845 ,501 ,7281,,
2020,Guangzhou,558,41422 ,175129 ,241560 ,77.11 ,25069 ,532 ,7073,,
2021,Guangzhou,610,45289 ,183874 ,283747 ,80.96 ,28225 ,590 ,7501,,
2022,Guangzhou,645,47294 ,188460 ,236137 ,82.98 ,28833 ,622 ,7201,,
2023,Guangzhou,670,51235 ,195590 ,313413 ,86.12 ,30356 ,653 ,7639,,
2024,Guangzhou,769,54633 ,214651 ,325501 ,94.51 ,31033 ,705 ,8263,,
2017,Changsha,61,3798 ,17964 ,23347 ,8.80 ,10050 ,67 ,815,,
2018,Changsha,61,4278 ,18536 ,25030 ,9.08 ,10406 ,67 ,878,,
2019,Changsha,93,5583 ,26279 ,33789 ,12.88 ,11553 ,100 ,1171,,
2020,Changsha,152,8306 ,41419 ,38576 ,20.30 ,12143 ,158 ,1736,,
2021,Changsha,153,11125 ,48508 ,58790 ,23.77 ,13271 ,162 ,1918,,
2022,Changsha,197,12981 ,55914 ,57783 ,27.40 ,13966 ,210 ,2325,,
2023,Changsha,218,15946 ,63975 ,94392 ,31.35 ,14332 ,235 ,2771,,
2024,Changsha,226,17208 ,68622 ,103163 ,33.62 ,15269 ,245 ,2838,,
2017,Wuhan,248,0 ,24081 ,92683 ,10.51 ,13091 ,251 ,2733,,
2018,Wuhan,423,18636 ,68760 ,105401 ,30.01 ,14929 ,348 ,3733,,
2019,Wuhan,498,25280 ,92183 ,124296 ,40.23 ,16223 ,388 ,4281,,
2020,Wuhan,493,18688 ,80078 ,62809 ,34.95 ,15516 ,388 ,3751,,
2021,Wuhan,571,28137 ,103970 ,101335 ,45.37 ,17688 ,484 ,4811,,
2022,Wuhan,561,32090 ,109513 ,89401 ,47.79 ,18866 ,510 ,4708,,
2023,Wuhan,596,34810 ,115452 ,135163 ,50.38 ,20012 ,556 ,5028,,
2024,Wuhan,634,37213 ,121977 ,146704 ,53.23 ,21106 ,588 ,5202,,
2017,Nanchang,49,2302 ,10836 ,10976 ,6.23 ,4548 ,49 ,548,,
2018,Nanchang,49,3033 ,15444 ,14176 ,8.88 ,5119 ,49 ,575,,
2019,Nanchang,61,3640 ,17437 ,17502 ,10.03 ,5537 ,60 ,622,,
2020,Nanchang,105,3884 ,17990 ,13593 ,10.35 ,5783 ,89 ,920,,
2021,Nanchang,136,6553 ,25767 ,25970 ,14.82 ,6713 ,129 ,1375,,
2022,Nanchang,144,9036 ,34317 ,23909 ,19.74 ,7002 ,128 ,1353,,
2023,Nanchang,146,9527 ,35811 ,38055 ,20.60 ,7438 ,128 ,1436,,
2024,Nanchang,151,9738 ,36635 ,43895 ,21.07 ,7800 ,128 ,1473,,
2017,Shenyang,97,4281 ,13727 ,31911 ,7.72 ,5549 ,123 ,1218,,
2018,Shenyang,96,4773 ,15127 ,32994 ,8.51 ,6102 ,128 ,1240,,
2019,Shenyang,122,6001 ,19069 ,37843 ,10.73 ,6465 ,185 ,1348,,
2020,Shenyang,180,8125 ,24552 ,31628 ,13.81 ,6572 ,212 ,1700,,
